SQUAREID,LINESET,NR_UBICAZIONI
1566,DG1003117,25
1567,DG1003116,83
1567,DG1003119,1
1572,DG1003315,65
1573,DG1003315,90
1574,DG1003315,25
1675,DG1012421,6
1676,DG1012421,33
1677,DG1012421,3
1678,DG1031220,53
1679,DG1012421,2
1679,DG1031220,60
1680,DG1012421,24
1683,DG1003116,12
1683,DG1003117,31
1684,DG1003116,174
1689,DG1003315,30
1690,DG1003315,36
1793,DG1012421,3
1794,DG1012421,17
1795,DG1012421,69
1795,DG1031220,29
1796,DG1012421,42
1797,DG1012421,71
1798,DG1003117,9
1799,DG1003117,157
1800,DG1003116,155
1800,DG1003117,15
1806,DG1003315,21
1910,DG1012421,2
1911,DG1012421,34
1912,DG1012421,436
1913,DG1012421,263
1914,DG1012421,169
1915,DG1003117,1
1915,DG1012921,7
1916,DG1003116,1
1916,DG1003117,12
1916,DG1012921,22
1917,DG1003116,2
1921,DG1003315,4
1922,DG1003315,34
1923,DG1003315,67
1924,DG1003315,1
2022,DG1012420,2
2028,DG1012421,11
2029,DG1012421,6
2030,DG1012421,3
2031,DG1012421,2
2031,DG1012921,2
2032,DG1012921,5
2033,DG1003116,10
2033,DG1003117,2
2033,DG1012921,7
2034,DG1003116,11
2040,DG1003315,1
2139,DG1012420,7
2145,DG1012421,2
2146,DG1012421,120
2147,DG1012421,145
2148,DG1012421,3
2148,DG1012921,21
2149,DG1012921,6
2150,DG1003116,134
2150,DG1012921,7
2151,DG1003116,79
2155,DG1003315,32
2156,DG1003315,48
2253,DG1012427,74
2256,DG1012420,2
2258,DG1012420,16
2261,DG1012907,1
2262,DG1012421,2
2262,DG1012907,3
2263,DG1012421,51
2263,DG1012921,1
2264,DG1012421,5
2264,DG1012921,23
2265,DG1012421,3
2265,DG1012905,2
2265,DG1012921,519
2266,DG1012921,141
2267,DG1003116,215
2267,DG1012915,2
2268,DG1003116,88
2271,DG1003315,13
2272,DG1003315,2
2351,DG1012320,3
2351,DG1012327,3
2363,DG1012427,7
2364,DG1012427,25
2366,DG1012427,1
2367,DG1012427,2
2370,DG1012427,21
2373,DG1012420,1
2378,DG1012907,25
2379,DG1012421,1
2379,DG1012905,1
2379,DG1012907,25
2380,DG1012421,1
2380,DG1012921,1
2381,DG1012921,246
2382,DG1012921,361
2383,DG1012907,4
2383,DG1012921,167
2384,DG1003116,1
2384,DG1012907,3
2384,DG1012915,10
2384,DG1012921,19
2385,DG1003116,11
2385,DG1012922,2
2388,DG1003315,45
2389,DG1003315,3
2390,DG1003315,136
2391,DG1003315,22
2468,DG1012320,11
2469,DG1012320,2
2473,DG1000023,6
2474,DG1000023,7
2480,DG1012427,8
2481,DG1012427,133
2482,DG1012427,30
2483,DG1012427,382
2484,DG1012427,135
2485,DG1012427,19
2486,DG1012427,95
2487,DG1012427,4
2491,DG1012420,6
2493,DG1012421,11
2495,DG1012907,3
2496,DG1012907,107
2497,DG1012907,63
2498,DG1012907,71
2500,DG1012917,4
2500,DG1012921,61
2501,DG1012905,5
2501,DG1012907,31
2501,DG1012908,5
2501,DG1012915,25
2501,DG1012917,4
2502,DG1012902,6
2502,DG1012905,37
2502,DG1012908,20
2502,DG1012915,1
2502,DG1012922,31
2502,DG1012928,3
2502,DG1012929,3
2503,DG1012902,414
2503,DG1012922,15
2504,DG1012902,15
2505,DG1003315,3
2506,DG1003315,65
2507,DG1003315,98
2508,DG1003315,2
2514,DG1003318,33
2515,DG1003318,83
2516,DG1003318,4
2586,DG1012320,82
2586,DG1012321,5
2587,DG1012321,4
2591,DG1000023,14
2592,DG1000023,20
2597,DG1012427,51
2598,DG1012427,107
2599,DG1012427,23
2600,DG1012427,22
2601,DG1012427,1
2607,DG1012420,20
2608,DG1012420,68
2610,DG1012421,1
2612,DG1012907,22
2613,DG1012907,99
2615,DG1012907,9
2616,DG1012907,2
2619,DG1012901,4
2619,DG1012908,11
2619,DG1012917,1
2619,DG1012928,15
2619,DG1012929,17
2620,DG1003302,205
2620,DG1012901,2
2620,DG1012902,268
2620,DG1012928,2
2620,DG1013015,4
2621,DG1003302,16
2621,DG1012902,10
2622,DG1003302,15
2623,DG1003302,7
2623,DG1003315,79
2623,DG1003316,1
2624,DG1003315,2
2624,DG1003317,13
2625,DG1003317,39
2626,DG1003318,11
2630,DG1003318,33
2631,DG1003318,18
2632,DG1003318,39
2635,DG1003318,3
2636,DG1003318,1
2702,DG1013320,1
2703,DG1012320,206
2703,DG1012321,4
2703,DG1013320,6
2704,DG1012320,113
2704,DG1012321,10
2704,DG1013320,74
2709,DG1000023,15
2713,DG1012427,46
2714,DG1012427,173
2715,DG1012427,23
2716,DG1012427,36
2725,DG1012420,32
2726,DG1012421,2
2730,DG1012907,81
2731,DG1012907,76
2736,DG1012901,73
2736,DG1013001,188
2736,DG1013017,22
2737,DG1003302,52
2737,DG1012901,39
2737,DG1013001,81
2737,DG1013004,3
2737,DG1013007,1
2737,DG1013015,196
2737,DG1013017,131
2738,DG1003302,138
2738,DG1003317,9
2738,DG1013001,21
2738,DG1013002,16
2738,DG1013007,133
2738,DG1013015,19
2738,DG1013023,118
2739,DG1003302,93
2739,DG1003315,4
2739,DG1003316,1
2739,DG1003317,48
2740,DG1003315,7
2740,DG1003317,222
2740,DG1003318,11
2741,DG1003317,49
2741,DG1003318,5
2742,DG1003317,5
2743,DG1003318,21
2744,DG1003317,19
2744,DG1003318,2
2745,DG1003317,38
2745,DG1003318,48
2746,DG1003317,31
2746,DG1003318,89
2747,DG1003317,51
2747,DG1003318,78
2750,DG1003318,5
2751,DG1003318,6
2752,DG1003318,9
2819,DG1013320,1
2820,DG1013320,82
2821,DG1013320,19
2821,DG1013321,1
2822,DG1013321,1
2829,DG1012427,52
2830,DG1012427,360
2831,DG1012427,10
2842,DG1012420,13
2842,DG1012430,14
2843,DG1012421,4
2845,DG1000625,4
2847,DG1012907,37
2848,DG1012907,258
2849,DG1012907,37
2853,DG1012901,23
2853,DG1013001,94
2854,DG1012901,24
2854,DG1013001,127
2854,DG1013002,101
2854,DG1013004,251
2854,DG1013016,13
2854,DG1013017,4
2855,DG1003317,4
2855,DG1012905,1
2855,DG1013002,383
2855,DG1013004,113
2855,DG1013016,173
2855,DG1013023,321
2856,DG1003317,75
2856,DG1013023,31
2857,DG1003301,57
2857,DG1003317,12
2857,DG1003318,9
2858,DG1003317,37
2862,DG1003317,1
2863,DG1003317,58
2864,DG1003317,178
2865,DG1003317,3
2866,DG1003317,26
2869,DG1003318,1
2937,DG1013321,28
2938,DG1013321,66
2939,DG1013321,10
2947,DG1012427,96
2948,DG1012427,55
2958,DG1012425,5
2958,DG1012426,25
2958,DG1012427,14
2959,DG1012423,2
2959,DG1012424,41
2959,DG1012427,7
2960,DG1012420,47
2960,DG1012421,4
2961,DG1000625,17
2962,DG1000625,5
2963,DG1000625,20
2964,DG1000625,1
2964,DG1012907,20
2966,DG1012907,9
2967,DG1012907,7
2969,DG1013701,13
2970,DG1013701,148
2971,DG1012901,66
2971,DG1012905,1
2971,DG1013002,87
2971,DG1013016,51
2971,DG1013701,7
2971,DG1013702,1
2972,DG1013004,2
2972,DG1013016,354
2972,DG1013023,175
2973,DG1003301,36
2973,DG1013023,28
2974,DG1003301,21
2975,DG1003317,40
2977,DG1003317,7
2978,DG1003317,7
2980,DG1003317,3
2981,DG1003317,89
2982,DG1003301,2
2983,DG1003301,44
2983,DG1003317,10
2984,DG1000425,4
2985,DG1000425,3
3053,DG1013321,6
3054,DG1013321,26
3055,DG1013321,194
3056,DG1013320,24
3056,DG1013321,83
3057,DG1013320,4
3064,DG1012427,114
3065,DG1012427,23
3072,DG1012427,12
3073,DG1012425,75
3073,DG1012427,135
3074,DG1012425,84
3074,DG1012426,28
3074,DG1012427,9
3075,DG1012424,21
3075,DG1012425,49
3075,DG1012426,104
3076,DG1012424,369
3076,DG1012425,13
3077,DG1000625,5
3077,DG1012420,6
3077,DG1012421,3
3077,DG1012424,54
3078,DG1000625,489
3078,DG1012421,29
3079,DG1000625,68
3080,DG1000625,8
3081,DG1000625,14
3084,DG1012907,3
3086,DG1013701,53
3087,DG1013701,206
3088,DG1012901,1
3088,DG1012923,3
3088,DG1013701,104
3088,DG1013702,8
3088,DG1013708,1
3089,DG1013016,76
3089,DG1013702,113
3089,DG1013708,7
3090,DG1013023,3
3091,DG1003301,3
3096,DG1003301,65
3097,DG1003301,46
3098,DG1003301,1
3099,DG1003301,1
3099,DG1003317,28
3100,DG1003301,73
3102,DG1000425,1
3170,DG1013321,2
3171,DG1013321,1
3171,DG1013323,25
3172,DG1013323,5
3173,DG1013320,1
3173,DG1013323,7
3174,DG1013320,7
3174,DG1013325,4
3181,DG1012427,6
3182,DG1012427,9
3189,DG1012427,76
3190,DG1012425,3
3190,DG1012427,66
3191,DG1012425,127
3192,DG1012424,7
3192,DG1012425,524
3193,DG1000625,3
3193,DG1012424,310
3193,DG1012425,29
3194,DG1000625,71
3194,DG1012424,659
3195,DG1000625,36
3195,DG1012421,166
3195,DG1012424,1
3196,DG1000625,1
3197,DG1000625,2
3198,DG1000625,4
3202,DG1013701,2
3203,DG1013701,107
3204,DG1013701,248
3205,DG1013701,250
3205,DG1013707,73
3206,DG1003301,22
3206,DG1013702,42
3207,DG1003301,411
3208,DG1003301,213
3209,DG1003301,18
3210,DG1003301,5
3212,DG1003301,11
3213,DG1003301,86
3214,DG1003301,37
3215,DG1003301,300
3216,DG1000421,232
3216,DG1003301,275
3217,DG1000421,229
3217,DG1003301,4
3218,DG1000421,4
3219,DG1000421,23
3219,DG1000425,45
3221,DG1000425,4
3287,DG1013323,2
3288,DG1013323,23
3289,DG1013323,44
3290,DG1013322,29
3290,DG1013323,15
3291,DG1013322,5
3291,DG1013325,228
3292,DG1013325,30
3299,DG1012427,13
3308,DG1012425,3
3309,DG1012425,31
3310,DG1000625,26
3310,DG1012425,2
3311,DG1000625,124
3312,DG1000625,15
3319,DG1013701,14
3320,DG1013701,173
3321,DG1013701,12
3322,DG1013701,14
3322,DG1013704,61
3322,DG1013707,23
3323,DG1013704,371
3324,DG1013704,21
3324,DG1013707,12
3325,DG1003301,3
3325,DG1013704,2
3325,DG1013707,313
3326,DG1013707,26
3327,DG1003301,73
3327,DG1013703,3
3328,DG1013703,1
3329,DG1013703,73
3330,DG1003301,8
3331,DG1003301,14
3332,DG1003301,18
3333,DG1000421,3
3334,DG1000421,97
3335,DG1000421,11
3336,DG1000421,113
3336,DG1000425,17
3337,DG1000421,1
3339,DG1000425,1
3340,DG1000425,19
3341,DG1000425,22
3342,DG1000425,8
3344,DG1000425,56
3345,DG1000425,182
3346,DG1000425,1
3405,DG1013323,9
3406,DG1013322,12
3406,DG1013323,12
3407,DG1013322,81
3407,DG1022123,111
3408,DG1013322,1
3408,DG1013325,91
3408,DG1022123,147
3409,DG1013325,120
3409,DG1022123,103
3410,DG1013325,47
3411,DG1013325,12
3427,DG1000625,11
3427,DG1012425,1
3428,DG1000625,17
3429,DG1000624,6
3429,DG1000625,7
3429,DG1012421,8
3430,DG1012421,3
3431,DG1000622,5
3437,DG1013701,23
3438,DG1013701,14
3439,DG1013701,19
3440,DG1013704,4
3441,DG1013704,89
3442,DG1013704,2
3442,DG1013707,5
3443,DG1003301,10
3443,DG1013707,11
3444,DG1003301,28
3444,DG1013703,237
3445,DG1013703,171
3450,DG1003301,1
3454,DG1000421,100
3454,DG1000425,101
3455,DG1000425,38
3456,DG1000425,160
3457,DG1000425,16
3458,DG1000425,166
3460,DG1000425,41
3461,DG1000425,5
3521,DG1013322,23
3522,DG1013322,18
3523,DG1013322,14
3524,DG1013322,13
3524,DG1022123,34
3525,DG1022123,152
3526,DG1022123,100
3527,DG1022123,27
3544,DG1012425,5
3545,DG1000624,4
3545,DG1012425,3
3546,DG1000624,192
3546,DG1000625,1
3547,DG1000622,2
3548,DG1000622,22
3554,DG1013701,1
3555,DG1013701,22
3558,DG1013704,37
3559,DG1013704,4
3561,DG1013703,3
3562,DG1013703,443
3571,DG1000421,2
3572,DG1000421,12
3572,DG1000425,6
3573,DG1000425,252
3574,DG1000425,217
3575,DG1000425,202
3576,DG1000425,1
3578,DG1000425,2
3579,DG1000425,1
3637,DG1013322,7
3638,DG1013322,12
3643,DG1022123,12
3644,DG1022123,18
3662,DG1000624,4
3663,DG1000624,234
3663,DG1000625,39
3664,DG1000625,30
3665,DG1000622,16
3666,DG1000622,1
3667,DG1000622,1
3672,DG1013701,38
3673,DG1013701,27
3674,DG1011923,5
3678,DG1011923,1
3679,DG1013703,30
3687,DG1000421,46
3689,DG1000421,31
3689,DG1000425,1
3690,DG1000425,163
3691,DG1000425,97
3692,DG1000425,7
3694,DG1000425,39
3695,DG1000425,1
3752,DG1013322,4
3753,DG1013322,29
3754,DG1013322,16
3755,DG1013322,3
3761,DG1022123,3
3778,DG1012425,2
3779,DG1012425,25
3780,DG1000625,84
3781,DG1000625,239
3782,DG1000622,12
3782,DG1000625,1
3783,DG1000622,88
3784,DG1000622,68
3785,DG1000622,91
3786,DG1000622,28
3787,DG1000622,4
3790,DG1013701,67
3791,DG1011923,11
3791,DG1013701,14
3792,DG1011923,7
3794,DG1011923,16
3795,DG1011923,1
3795,DG1011930,1
3796,DG1013703,1
3804,DG1000421,8
3805,DG1000421,42
3808,DG1000425,3
3809,DG1000425,1
3810,DG1000425,48
3811,DG1000425,70
3812,DG1000425,6
3868,DG1013322,15
3869,DG1013322,49
3870,DG1013322,10
3895,DG1012425,15
3896,DG1012425,63
3898,DG1000620,1
3899,DG1000622,8
3900,DG1000622,93
3901,DG1000622,5
3902,DG1000622,48
3903,DG1000622,97
3908,DG1011923,2
3909,DG1011923,28
3910,DG1011923,4
3911,DG1011923,129
3911,DG1011930,20
3912,DG1011923,7
3912,DG1011930,57
3913,DG1011930,1
3913,DG1013703,4
3921,DG1000421,52
3922,DG1000421,173
3923,DG1000421,9
3927,DG1000425,4
3929,DG1000425,2
3953,DG1099303,2
3985,DG1013322,10
3997,DG1022123,10
4015,DG1000620,9
4016,DG1000620,9
4017,DG1000622,8
4019,DG1000622,118
4020,DG1000622,232
4026,DG1011923,82
4027,DG1011923,201
4028,DG1011923,308
4028,DG1011930,3
4029,DG1011923,47
4029,DG1011930,205
4030,DG1011930,10
4031,DG1011930,1
4037,DG1000420,2
4039,DG1000421,14
4040,DG1000421,131
4069,DG1099303,1
4070,DG1099303,1
4071,DG1099303,3
4073,DG1099303,18
4074,DG1000821,23
4101,DG1013322,1
4102,DG1013322,1
4114,DG1022123,199
4115,DG1022123,31
4133,DG1000620,12
4134,DG1000622,37
4135,DG1000622,12
4136,DG1000622,284
4137,DG1000622,13
4144,DG1011923,17
4145,DG1011923,62
4146,DG1011923,10
4147,DG1011930,1
4148,DG1011930,14
4154,DG1000420,13
4155,DG1000420,20
4156,DG1000420,2
4157,DG1000421,82
4158,DG1000421,3
4184,DG1099303,7
4185,DG1099303,2
4186,DG1099303,2
4187,DG1099303,2
4191,DG1000821,87
4217,DG1013322,2
4218,DG1013322,2
4230,DG1022123,15
4231,DG1022123,56
4232,DG1022123,187
4249,DG1000620,2
4250,DG1000620,1
4252,DG1000621,3
4252,DG1000622,15
4253,DG1000622,67
4254,DG1000622,179
4261,DG1011923,3
4262,DG1011923,127
4263,DG1011923,5
4264,DG1011923,3
4264,DG1011930,4
4265,DG1011930,116
4266,DG1011930,12
4268,DG1011930,1
4269,DG1000420,1
4270,DG1000420,55
4271,DG1000420,45
4272,DG1000420,385
4273,DG1000420,38
4274,DG1000420,22
4274,DG1000421,6
4275,DG1000420,6
4276,DG1000496,1
4302,DG1099303,1
4307,DG1000821,182
4308,DG1000821,29
4346,DG1022123,21
4347,DG1022123,26
4348,DG1022123,2
4349,DG1022123,38
4350,DG1022123,3
4367,DG1000620,7
4368,DG1000620,9
4368,DG1000621,2
4369,DG1000621,41
4370,DG1000621,1
4371,DG1000622,26
4379,DG1011923,50
4380,DG1011923,9
4381,DG1011923,39
4382,DG1011923,4
4382,DG1011930,595
4383,DG1011930,167
4384,DG1011930,53
4385,DG1011930,16
4386,DG1000420,8
4386,DG1011930,12
4387,DG1000420,195
4388,DG1000420,483
4389,DG1000420,117
4390,DG1000420,217
4390,DG1000422,1
4391,DG1000420,441
4391,DG1000422,58
4392,DG1000420,73
4394,DG1000422,10
4400,DG1002021,2
4401,DG1002021,12
4402,DG1002021,13
4403,DG1002021,42
4404,DG1002021,22
4405,DG1002021,6
4423,DG1000821,52
4424,DG1000821,187
4462,DG1022123,27
4463,DG1022123,20
4465,DG1022124,1
4466,DG1022123,6
4466,DG1022124,4
4467,DG1022123,7
4467,DG1022125,1
4468,DG1022121,5
4485,DG1000620,112
4485,DG1000621,122
4485,DG1013223,16
4486,DG1000621,37
4486,DG1013222,24
4488,DG1000622,80
4492,DG1002539,7
4493,DG1002539,1
4496,DG1002539,59
4497,DG1011923,222
4498,DG1011923,91
4499,DG1011930,196
4500,DG1011930,173
4501,DG1011930,8
4502,DG1011930,3
4504,DG1000420,7
4505,DG1000420,2
4506,DG1000420,1
4507,DG1000422,73
4508,DG1000422,2
4516,DG1000423,1
4517,DG1000423,6
4518,DG1000423,1
4518,DG1002021,9
4519,DG1002021,1
4520,DG1002021,10
4521,DG1002021,12
4522,DG1002021,38
4523,DG1002021,34
4538,DG1000821,6
4539,DG1000821,9
4540,DG1000821,84
4541,DG1000821,42
4568,DG1013322,2
4569,DG1013322,1
4578,DG1022123,22
4579,DG1022123,13
4585,DG1022121,4
4586,DG1022121,131
4587,DG1022121,1
4588,DG1022121,4
4602,DG1013223,72
4603,DG1013222,95
4605,DG1000621,235
4605,DG1000622,7
4609,DG1002539,3
4611,DG1002539,10
4614,DG1011923,11
4615,DG1011923,18
4616,DG1011930,10
4616,DG1011931,8
4617,DG1011930,13
4617,DG1011931,16
4618,DG1011930,9
4619,DG1011930,3
4622,DG1000422,1
4623,DG1000422,25
4624,DG1000422,94
4632,DG1000423,21
4633,DG1000423,20
4634,DG1000423,186
4635,DG1000423,132
4636,DG1000423,1
4636,DG1010901,28
4640,DG1002021,8
4641,DG1002021,13
4642,DG1002021,1
4652,DG1000821,66
4653,DG1000821,22
4653,DG1000824,1
4654,DG1000821,1
4654,DG1000824,1
4654,DG1000825,9
4655,DG1000821,1
4655,DG1000825,288
4656,DG1000821,3
4656,DG1000825,80
4685,DG1013322,7
4702,DG1022120,3
4703,DG1022121,17
4704,DG1022121,37
4705,DG1022121,137
4719,DG1013223,7
4720,DG1013222,10
4721,DG1000621,3
4722,DG1000621,45
4723,DG1000621,51
4724,DG1000621,56
4725,DG1002539,19
4727,DG1002539,22
4728,DG1002539,22
4731,DG1002531,92
4731,DG1011923,5
4732,DG1002531,80
4732,DG1011923,45
4732,DG1011924,45
4733,DG1011922,26
4733,DG1011923,6
4733,DG1011930,5
4733,DG1011931,182
4734,DG1011930,38
4734,DG1011931,28
4735,DG1011930,38
4735,DG1011931,48
4736,DG1011930,4
4739,DG1000422,13
4740,DG1000422,74
4741,DG1000422,156
4751,DG1000423,39
4752,DG1000423,105
4753,DG1000423,136
4753,DG1010901,44
4754,DG1010901,78
4758,DG1002021,10
4759,DG1002021,30
4760,DG1002021,1
4767,DG1000820,8
4769,DG1000820,3
4769,DG1000821,19
4770,DG1000821,4
4772,DG1000825,2
4773,DG1000825,3
4774,DG1000823,3
4802,DG1013322,1
4803,DG1013322,5
4817,DG1022120,12
4818,DG1022120,10
4819,DG1022120,4
4821,DG1022121,105
4822,DG1022121,61
4823,DG1022121,126
4835,DG1022322,1
4836,DG1013223,52
4836,DG1022322,40
4837,DG1013222,32
4837,DG1013223,71
4838,DG1000621,13
4838,DG1013222,1
4839,DG1000621,313
4840,DG1000621,25
4841,DG1000621,34
4844,DG1002539,3
4845,DG1002539,106
4848,DG1002531,110
4849,DG1002531,203
4849,DG1011923,1
4849,DG1011924,28
4849,DG1011928,4
4849,DG1011931,6
4850,DG1011921,24
4850,DG1011922,169
4850,DG1011925,21
4850,DG1011930,1
4850,DG1011931,70
4851,DG1011922,405
4851,DG1011931,198
4852,DG1011931,214
4856,DG1000422,1
4857,DG1000422,15
4858,DG1000422,307
4862,DG1000422,16
4863,DG1000422,1
4870,DG1000423,8
4870,DG1010901,96
4871,DG1010901,103
4872,DG1010901,17
4875,DG1002021,13
4875,DG1010903,5
4876,DG1002021,84
4877,DG1002021,13
4881,DG1000820,8
4882,DG1000820,20
4883,DG1000820,25
4884,DG1000820,26
4885,DG1000820,10
4887,DG1000823,13
4888,DG1000823,4
4889,DG1000823,3
4890,DG1000823,8
4891,DG1000823,17
4933,DG1022120,2
4934,DG1022120,14
4935,DG1022120,219
4938,DG1022121,76
4940,DG1022121,104
4941,DG1022121,78
4942,DG1022121,3
4945,DG1022321,5
4953,DG1022322,3
4954,DG1013223,2
4955,DG1013222,1
4955,DG1013223,3
4956,DG1000621,19
4956,DG1013221,63
4956,DG1013222,15
4957,DG1000621,2
4962,DG1002539,20
4963,DG1002539,118
4964,DG1002539,11
4965,DG1002531,6
4966,DG1002531,5
4966,DG1011920,5
4966,DG1011921,4
4966,DG1011927,263
4966,DG1011928,19
4967,DG1011920,227
4967,DG1011921,196
4967,DG1011922,4
4967,DG1011925,195
4967,DG1011927,41
4968,DG1011921,4
4968,DG1011922,410
4968,DG1011925,21
4968,DG1011931,3
4969,DG1011922,108
4969,DG1011931,12
4970,DG1011922,8
4973,DG1000422,1
4974,DG1000422,251
4975,DG1000422,57
4978,DG1000422,36
4979,DG1000422,21
4987,DG1010901,3
4988,DG1010901,154
4989,DG1010901,170
4990,DG1010901,20
4991,DG1010901,7
4991,DG1010903,4
4992,DG1002021,70
4992,DG1010903,96
4993,DG1002021,445
4994,DG1002021,50
4995,DG1002021,18
4996,DG1002021,15
4997,DG1000820,12
4997,DG1002023,1
4998,DG1000820,30
4999,DG1000820,13
5000,DG1000820,299
5001,DG1000820,4
5004,DG1000823,48
5005,DG1000823,25
5006,DG1000823,10
5007,DG1000823,30
5008,DG1000823,18
5052,DG1022120,244
5053,DG1022120,3
5054,DG1022121,9
5055,DG1022121,52
5056,DG1022121,8
5059,DG1022121,3
5060,DG1022121,26
5067,DG1022321,1
5068,DG1022322,2
5069,DG1022322,5
5070,DG1022322,184
5071,DG1013220,30
5072,DG1013222,5
5073,DG1013220,9
5073,DG1013221,162
5073,DG1013222,11
5074,DG1013221,3
5077,DG1013221,4
5078,DG1013221,5
5079,DG1002539,2
5079,DG1013221,11
5080,DG1002539,140
5081,DG1002539,33
5082,DG1002531,12
5082,DG1002539,188
5083,DG1002527,14
5083,DG1002531,16
5083,DG1011920,49
5083,DG1011927,341
5083,DG1011928,80
5084,DG1002529,73
5084,DG1002534,220
5084,DG1002535,128
5084,DG1011920,152
5084,DG1011921,450
5084,DG1011925,9
5084,DG1011927,166
5085,DG1002529,223
5085,DG1002535,15
5085,DG1011921,17
5085,DG1011922,15
5086,DG1002537,39
5086,DG1011922,357
5087,DG1002537,2
5087,DG1011922,6
5089,DG1002537,4
5090,DG1002521,5
5091,DG1000422,2
5096,DG1000422,19
5104,DG1010901,6
5105,DG1010901,125
5106,DG1010901,261
5107,DG1010901,21
5108,DG1010901,22
5108,DG1010903,4
5109,DG1002021,30
5109,DG1010902,239
5109,DG1010903,198
5110,DG1002021,224
5110,DG1002026,55
5110,DG1010902,356
5111,DG1002021,1
5111,DG1002026,53
5112,DG1002021,104
5112,DG1002024,109
5112,DG1002026,34
5113,DG1002021,4
5113,DG1002023,1
5113,DG1002024,80
5114,DG1002022,49
5114,DG1002023,40
5114,DG1002024,10
5115,DG1000820,183
5115,DG1002022,74
5115,DG1002023,26
5116,DG1000820,2
5116,DG1002022,21
5118,DG1000820,6
5120,DG1000823,1
5121,DG1000823,24
5122,DG1000823,58
5123,DG1000823,18
5124,DG1000823,13
5125,DG1000823,39
5126,DG1000823,16
5127,DG1099205,6
5128,DG1099205,3
5129,DG1099205,2
5169,DG1022120,243
5170,DG1022120,37
5171,DG1022121,13
5172,DG1022121,4
5173,DG1022121,19
5185,DG1022322,4
5188,DG1013220,31
5189,DG1013220,3
5190,DG1013220,58
5190,DG1013221,4
5191,DG1013221,54
5194,DG1013221,2
5195,DG1013221,103
5196,DG1013221,458
5197,DG1002539,6
5198,DG1002528,5
5198,DG1002539,16
5199,DG1002528,25
5199,DG1002539,83
5200,DG1002525,241
5200,DG1002531,48
5200,DG1002533,24
5200,DG1002539,91
5200,DG1011920,147
5200,DG1011926,25
5200,DG1011927,55
5200,DG1011928,53
5201,DG1002525,43
5201,DG1002529,19
5201,DG1002533,233
5201,DG1002534,455
5201,DG1002535,288
5201,DG1011920,60
5201,DG1011926,190
5202,DG1002529,204
5202,DG1002535,106
5202,DG1002537,93
5203,DG1002537,377
5203,DG1011922,34
5204,DG1002537,121
5204,DG1011922,89
5205,DG1002537,131
5206,DG1002537,14
5207,DG1002521,123
5208,DG1002521,1
5212,DG1000422,41
5213,DG1000422,16
5214,DG1000422,41
5215,DG1000422,26
5216,DG1000422,16
5217,DG1000422,7
5220,DG1010901,4
5221,DG1010901,17
5222,DG1010901,25
5223,DG1010901,54
5224,DG1002020,22
5224,DG1010901,87
5225,DG1002020,58
5225,DG1010901,24
5226,DG1002020,8
5226,DG1010902,11
5226,DG1010903,8
5227,DG1002020,30
5227,DG1010902,75
5228,DG1002020,49
5228,DG1002026,1
5228,DG1010902,71
5229,DG1002020,27
5229,DG1002021,8
5230,DG1002022,190
5230,DG1002023,4
5230,DG1002025,162
